"TIME";"GEO";"VESSEL";"UNIT";"WEIGHT";"Value";"Flag and Footnotes"
"2014";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";"4 773";""
"2014";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";"2 953";""
"2014";"Netherlands";"Dumb and pushed vessel";"Number";"Total";"1 333";""
"2014";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";"283";""
"2014";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";"842";""
"2014";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";"208";""
"2014";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";"2 924";""
"2014";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";"132";""
"2014";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";"2 015";""
"2014";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";"777";""
"2015";"Netherlands";"Self-propelled barge";"Number";"Total";"5 357";""
"2015";"Netherlands";"Self-propelled barge";"Number";"999 t or less";"1 909";""
"2015";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";"2 687";""
"2015";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";"761";""
"2015";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";"8 784";""
"2015";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";"1 047";""
"2015";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";"4 692";""
"2015";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";"3 045";""
"2015";"Netherlands";"Dumb and pushed vessel";"Number";"Total";"1 330";""
"2015";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";"261";""
"2015";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";"856";""
"2015";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";"213";""
"2015";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";"2 967";""
"2015";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";"129";""
"2015";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";"2 045";""
"2015";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";"793";""
"2016";"Netherlands";"Self-propelled barge";"Number";"Total";"5 136";""
"2016";"Netherlands";"Self-propelled barge";"Number";"999 t or less";"1 706";""
"2016";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";"2 665";""
"2016";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";"765";""
"2016";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";"8 688";""
"2016";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";"954";""
"2016";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";"4 671";""
"2016";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";"3 062";""
"2016";"Netherlands";"Dumb and pushed vessel";"Number";"Total";"1 371";""
"2016";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";"322";""
"2016";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";"838";""
"2016";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";"211";""
"2016";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";"2 923";""
"2016";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";"148";""
"2016";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";"1 991";""
"2016";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";"783";""
"2017";"Netherlands";"Self-propelled barge";"Number";"Total";"3 265";""
"2017";"Netherlands";"Self-propelled barge";"Number";"999 t or less";"1 249";""
"2017";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";"1 451";""
"2017";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";"565";""
"2017";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";"5 485";""
"2017";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";"683";""
"2017";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";"2 541";""
"2017";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";"2 261";""
"2017";"Netherlands";"Dumb and pushed vessel";"Number";"Total";"1 065";""
"2017";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";"249";""
"2017";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";"647";""
"2017";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";"169";""
"2017";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";"2 308";""
"2017";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";"116";""
