"Perioden";"Voertuigtype";"Onderwerp";"";""
"2000";"Aanhangwagen";"11 000 - 11 499 kg";"aantal";""
"2000";"Aanhangwagen";"11 500 - 11 999 kg";"aantal";""
"2000";"Aanhangwagen";"12 000 - 12 499 kg";"aantal";""
"2000";"Aanhangwagen";"12 500 - 12 999 kg";"aantal";""
"2000";"Aanhangwagen";"13 000 - 13 499 kg";"aantal";""
"2000";"Aanhangwagen";"13 500 - 13 999 kg";"aantal";""
"2000";"Aanhangwagen";"14 000 - 14 499 kg";"aantal";""
"2000";"Aanhangwagen";"14 500 - 14 999 kg";"aantal";""
"2000";"Aanhangwagen";"15 000 - 15 499 kg";"aantal";""
"2000";"Aanhangwagen";"15 500 - 15 999 kg";"aantal";""
"2000";"Aanhangwagen";"16 000 - 19 999 kg";"aantal";""
"2000";"Aanhangwagen";"20 000 - 24 999 kg";"aantal";""
"2000";"Aanhangwagen";"25 000 - 29 999 kg";"aantal";""
"2000";"Aanhangwagen";"30 000 kg en meer";"aantal";""
"2000";"Aanhangwagen";"Leeggewicht onbekend";"aantal";""
"2000";"Oplegger";"||Totaal";"aantal";""
"2000";"Oplegger";"Benzine";"aantal";""
"2000";"Oplegger";"Diesel";"aantal";""
"2000";"Oplegger";"LPG";"aantal";""
"2000";"Oplegger";"Elektriciteit";"aantal";""
"2000";"Oplegger";"CNG";"aantal";""
"2000";"Oplegger";"Geen/overige/onbekende brandstof";"aantal";""
"2000";"Oplegger";"||Totaal";"aantal";""
"2000";"Oplegger";"< 500 kg";"aantal";""
"2000";"Oplegger";"500 - 999 kg";"aantal";""
"2000";"Oplegger";"1000 - 1499 kg";"aantal";""
"2000";"Oplegger";"1500 - 1999 kg";"aantal";""
"2000";"Oplegger";"2000 - 2499 kg";"aantal";""
"2000";"Oplegger";"2500 - 2999 kg";"aantal";""
"2000";"Oplegger";"3000 - 3499 kg";"aantal";""
"2000";"Oplegger";"3500 - 3999 kg";"aantal";""
"2000";"Oplegger";"4000 - 4499 kg";"aantal";""
"2000";"Oplegger";"4500 - 4999 kg";"aantal";""
"2000";"Oplegger";"5000 - 5499 kg";"aantal";""
"2000";"Oplegger";"5500 - 5999 kg";"aantal";""
"2000";"Oplegger";"6000 - 6499 kg";"aantal";""
"2000";"Oplegger";"6500 - 6999 kg";"aantal";""
"2000";"Oplegger";"7000 - 7499 kg";"aantal";""
"2000";"Oplegger";"7500 - 7999 kg";"aantal";""
"2000";"Oplegger";"8000 - 8499 kg";"aantal";""
"2000";"Oplegger";"8500 - 8999 kg";"aantal";""
"2000";"Oplegger";"9000 - 9499 kg";"aantal";""
"2000";"Oplegger";"9500 - 9999 kg";"aantal";""
"2000";"Oplegger";"10 000 - 10 499 kg";"aantal";""
"2000";"Oplegger";"10 500 - 10 999 kg";"aantal";""
"2000";"Oplegger";"11 000 - 11 499 kg";"aantal";""
"2000";"Oplegger";"11 500 - 11 999 kg";"aantal";""
"2000";"Oplegger";"12 000 - 12 499 kg";"aantal";""
"2000";"Oplegger";"12 500 - 12 999 kg";"aantal";""
"2000";"Oplegger";"13 000 - 13 499 kg";"aantal";""
"2000";"Oplegger";"13 500 - 13 999 kg";"aantal";""
"2000";"Oplegger";"14 000 - 14 499 kg";"aantal";""
"2000";"Oplegger";"14 500 - 14 999 kg";"aantal";""
"2000";"Oplegger";"15 000 - 15 499 kg";"aantal";""
"2000";"Oplegger";"15 500 - 15 999 kg";"aantal";""
"2000";"Oplegger";"16 000 - 19 999 kg";"aantal";""
"2000";"Oplegger";"20 000 - 24 999 kg";"aantal";""
"2000";"Oplegger";"25 000 - 29 999 kg";"aantal";""
"2000";"Oplegger";"30 000 kg en meer";"aantal";""
"2000";"Oplegger";"Leeggewicht onbekend";"aantal";""
"2001";"Totaal bedrijfsvoertuigen";"||Totaal";"aantal";"950074"
"2001";"Totaal bedrijfsvoertuigen";"Benzine";"aantal";"80745"
"2001";"Totaal bedrijfsvoertuigen";"Diesel";"aantal";"843632"
"2001";"Totaal bedrijfsvoertuigen";"LPG";"aantal";"25073"
"2001";"Totaal bedrijfsvoertuigen";"Elektriciteit";"aantal";"84"
"2001";"Totaal bedrijfsvoertuigen";"CNG";"aantal";"540"
"2001";"Totaal bedrijfsvoertuigen";"Geen/overige/onbekende brandstof";"aantal";"0"
"2001";"Totaal bedrijfsvoertuigen";"||Totaal";"aantal";"950074"
"2001";"Totaal bedrijfsvoertuigen";"< 500 kg";"aantal";"156"
"2001";"Totaal bedrijfsvoertuigen";"500 - 999 kg";"aantal";"90995"
"2001";"Totaal bedrijfsvoertuigen";"1000 - 1499 kg";"aantal";"271028"
"2001";"Totaal bedrijfsvoertuigen";"1500 - 1999 kg";"aantal";"338372"
"2001";"Totaal bedrijfsvoertuigen";"2000 - 2499 kg";"aantal";"50621"
"2001";"Totaal bedrijfsvoertuigen";"2500 - 2999 kg";"aantal";"25276"
"2001";"Totaal bedrijfsvoertuigen";"3000 - 3499 kg";"aantal";"10053"
"2001";"Totaal bedrijfsvoertuigen";"3500 - 3999 kg";"aantal";"3768"
"2001";"Totaal bedrijfsvoertuigen";"4000 - 4499 kg";"aantal";"4472"
"2001";"Totaal bedrijfsvoertuigen";"4500 - 4999 kg";"aantal";"5249"
"2001";"Totaal bedrijfsvoertuigen";"5000 - 5499 kg";"aantal";"5123"
